model,term,estimate,ci_low,ci_high,p_value,n,r_squared,adj_r_squared,stability
final_points,Intercept,1.374678562212819,-0.5721882166936583,3.3215453411192963,0.1663809701838005,32,0.3950819697162049,0.27875157927701355,standard
final_points,group[T.B],-0.16343094875670328,-0.8654577760930959,0.5385958785796894,0.6481907202623595,32,0.3950819697162049,0.27875157927701355,standard
final_points,group[T.C],-0.0829511743582434,-0.7475277644108109,0.5816254156943241,0.8067360082931219,32,0.3950819697162049,0.27875157927701355,standard
final_points,mean_prompt_score,0.33024036388636724,-0.044269828828168545,0.704750556600903,0.08393768116341052,32,0.3950819697162049,0.27875157927701355,standard
final_points,midterm_points,0.2930104445162164,-0.2397659784355004,0.8257868674679332,0.28106983069976166,32,0.3950819697162049,0.27875157927701355,standard
final_points,prior_chatgpt_use_score,-0.09692507535703163,-0.28158136136297024,0.08773121064890699,0.3035857065947686,32,0.3950819697162049,0.27875157927701355,standard
grade_change,Intercept,0.006959833289353734,-1.3520994283368557,1.366019094915563,0.9919916821314856,32,0.07610646020708278,-0.06076665679927529,standard
grade_change,group[T.B],0.13398696874775465,-0.8201970678560213,1.0881710053515306,0.78314794482086,32,0.07610646020708278,-0.06076665679927529,standard
grade_change,group[T.C],0.16251347564792873,-0.39617553642974535,0.7212024877256028,0.5685953645421726,32,0.07610646020708278,-0.06076665679927529,standard
grade_change,mean_prompt_score,0.13938185853459845,-0.24427889375245576,0.5230426108216526,0.47643739091182846,32,0.07610646020708278,-0.06076665679927529,standard
grade_change,prior_chatgpt_use_score,-0.1404055723294399,-0.3901967206784607,0.10938557601958085,0.2706008972422609,32,0.07610646020708278,-0.06076665679927529,standard
